Bank Code	Bank Name
044	Access Bank Nigeria Plc
023	City Bank Nigeria Ltd
063     Diamond Bank
050	Ecobank Nigeria
084	Enterprise Bank Plc
070	Fidelity Bank Plc
011	First Bank of Nigeria Plc
214	First City Monument Bank
000027	Globus Bank
058	Guaranty Trust Bank Plc
030	Heritage Banking Company Ltd
301	Jaiz Bank
082     Keystone Bank ltd
014	Mainstreet Bank Plc
090267	Kuda
101	Providus Bank
076	Skye Bank Plc
039	Stanbic IBTC Plc
232	Sterling Bank Plc
032	Union Bank Nigeria Plc
033	United Bank for Africa Plc
215	Unity Bank Plc
090110	VFD Microfinance Bank
035	Wema Bank Plc
057     Zenith Bank
